State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.93989	0.94395	0.94558	0.95695	0.96142	0.96549	0.97402	0.97158	0.96914	0.96142	0.94395	0.93664	0.93257	0.91957	0.89885	0.89438	0.88584	0.87325	0.86146	0.85618	0.86106
2	0.65389	0.65408	0.65553	0.65452	0.65413	0.65355	0.65268	0.65312	0.65587	0.66114	0.67080	0.68023	0.68965	0.69425	0.70246	0.70807	0.71464	0.72300	0.73141	0.73871	0.74577
3	1.04662	1.03876	1.03091	1.02418	1.03876	1.06120	1.07242	1.08700	1.11056	1.08251	1.05447	1.05784	1.06569	1.10158	1.13075	1.14870	1.17226	1.18572	1.20703	1.22835	1.24854
4	3.45706	3.45706	3.46821	3.49052	3.49761	3.49913	3.49711	3.46263	3.41498	3.40078	3.36529	3.32626	3.27505	3.22385	3.15997	3.09254	3.00686	2.93335	2.86846	2.80407	2.73563
5	1.47946	1.51344	1.50664	1.47493	1.44774	1.43188	1.37071	1.35258	1.33219	1.29368	1.25743	1.24610	1.23477	1.21211	1.21325	1.17246	1.17246	1.17586	1.18039	1.18719	1.17133
6	1.98980	1.96404	1.96726	1.88677	1.91574	1.93828	2.05419	2.06707	2.10571	2.09927	1.98980	1.96404	1.90608	1.79661	1.72256	1.73544	1.71290	1.67426	1.64207	1.61631	1.61631
7	1.33323	1.34273	1.37957	1.42710	1.43660	1.47701	1.51147	1.59108	1.63267	1.63861	1.69921	1.61128	1.60890	1.67188	1.64336	1.65762	1.72298	1.73367	1.70634	1.71347	1.69208
8	1.59855	1.53962	1.48069	1.51384	1.52120	1.52120	1.59119	1.71274	1.94847	2.11790	2.13632	2.16947	2.01108	2.02213	2.05160	2.18788	2.13263	2.17315	2.08843	2.03318	1.99635
9	3.75084	3.68264	3.53261	3.39621	3.33256	3.23709	3.19162	3.12342	2.95521	2.75971	2.53693	2.65968	2.73697	2.75061	2.80517	2.82790	2.71424	2.63695	2.83700	2.78699	2.85518
10	3.91019	3.88301	3.76520	3.71536	3.66552	3.54319	3.41179	3.31664	3.16259	3.12181	3.10822	2.89526	2.73668	2.74121	2.77293	2.72762	2.84089	2.82730	2.70043	2.66419	2.60075
