State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.27971	1.30339	1.31235	1.30590	1.28115	1.23058	1.16889	1.06129	0.95369	0.90276	0.85900	0.84143	0.88734	0.98238	1.06918	1.15275	1.19902	1.21659	1.23739	1.21946	1.21874
2	0.75347	0.73577	0.71252	0.67668	0.62779	0.56764	0.49495	0.42703	0.38220	0.36168	0.35297	0.35417	0.36722	0.38352	0.40523	0.43057	0.46206	0.49111	0.51188	0.52895	0.54392
3	0.88320	0.86241	0.84359	0.82379	0.79013	0.75052	0.69210	0.59804	0.52576	0.50299	0.50596	0.49408	0.49408	0.50794	0.54952	0.58319	0.60497	0.63468	0.64755	0.67824	0.69705
4	0.88467	0.82023	0.75400	0.68867	0.61484	0.55801	0.50342	0.45911	0.43495	0.42153	0.42645	0.43271	0.44390	0.46180	0.48104	0.52624	0.60320	0.72850	0.88109	1.05471	1.18851
5	1.35084	1.15286	0.95088	0.73991	0.61193	0.52294	0.48594	0.47694	0.45594	0.47194	0.46394	0.47094	0.48694	0.50194	0.52094	0.55993	0.74191	1.21985	1.86877	2.59368	3.29360
6	3.18577	3.20566	3.00104	2.63444	2.00922	1.42947	1.11687	0.95204	0.85257	0.82131	0.85825	0.86678	0.87246	0.98330	1.22202	2.10869	4.35095	6.69267	8.08236	8.64221	8.41486
7	2.60421	2.72587	2.86536	3.12547	3.37823	3.32370	3.05730	2.45213	1.86165	1.84382	1.74103	1.39073	1.27746	1.37185	1.50715	1.80921	2.06826	2.09868	2.02841	1.90989	1.75677
8	3.06900	3.45913	3.96630	4.77906	5.94295	7.67576	9.39233	10.30587	8.80388	4.92536	2.76340	2.57484	2.88695	3.41687	3.90778	4.11260	3.58267	2.95847	2.45130	2.12620	1.94089
9	3.92064	4.55067	5.61410	7.19118	9.87985	14.53887	22.05510	33.00239	45.77156	56.86331	61.47016	52.96675	41.37739	29.80408	21.27258	14.51479	9.83571	6.84206	4.91183	3.80828	2.93346
10	6.44274	7.69050	9.31818	11.20981	13.18143	14.65714	14.88509	13.76931	11.27780	7.74649	7.43455	17.51258	27.20269	34.70523	38.33252	38.41250	34.61324	28.88236	23.55140	18.74034	15.27702
