State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	8.55620	0.70369	0.83739	0.91435	0.94405	0.85903	1.22274	1.62630
2	71.93546	0.28401	0.58848	0.80927	0.67087	0.35298	0.54163	1.09542
3	3.09938	0.56695	1.07600	0.79835	1.05458	0.50597	0.66159	0.91190
4	6.85796	0.62056	3.75574	2.17901	3.36463	0.42646	0.67019	0.27585
5	3.06918	0.42124	1.63566	2.28623	1.25642	0.46396	0.90947	0.14059
6	1.07984	0.27623	1.79149	2.25726	1.99000	0.85828	2.64803	0.11592
7	2.92597	1.00971	1.29865	1.17977	1.69939	1.74109	2.23364	0.42941
8	0.94394	1.38241	1.46054	1.08797	2.13654	2.76349	4.48684	0.30239
9	0.76473	66.19725	8.11721	1.24429	2.53719	61.46804	20.00447	0.46829
10	0.76735	14.41618	4.00088	2.16129	3.10854	7.43478	15.91127	0.14422
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
