State (Emission order)	H3k09me3	H3k36me3	H4k20me1	H3k79me2	H3k04me1	H3k04me2	H3k09ac	H3k27ac	H3k04me3	H3k27me3
1	0.014158550719757827	3.4439809057950824E-4	0.00748173695478823	8.32633401500483E-5	0.003035630859070847	0.0053110789178248356	5.035142761221096E-5	1.2806931560278766E-4	2.686267947375623E-4	0.3975309300878904
2	0.008431443696079698	9.441515747839193E-4	0.001535495665603177	1.9578380415997412E-4	0.0020228614410137294	2.6497426766523184E-4	4.1236726624983235E-5	1.161533373066517E-4	2.9840057916102512E-5	0.004830095442678358
3	0.4966453650767975	0.08404601352725562	0.008493407994295491	0.0043932897627982056	0.0028967358570819433	5.014959424375053E-4	5.410329310154168E-4	3.119203493686087E-4	0.0030293720983816056	0.007599032250815199
4	0.0032820224927806894	0.21203953061544525	0.02213604292278753	0.0404028413067494	0.015439616544778975	7.321495932972012E-5	3.6144620235855214E-4	7.515476887645114E-4	1.327431001958513E-5	3.380213890325891E-5
5	0.04302801823501229	0.24025724374170054	0.11477790669883747	0.6993321903471101	0.07148119314230693	0.001126649831953854	5.984691736096729E-4	0.0011245150104203904	2.7831941991176775E-4	8.14527898971294E-5
6	0.014200003099909082	0.28314505561480324	0.2187548060836437	0.8814698041527637	0.8526286978390692	0.33842064280633155	0.13235634318455974	0.11143069893605508	0.061632519708432996	1.5572398655128486E-4
7	0.01312145850315939	0.020566184147715993	0.005588069912795213	0.01139818303654541	0.6530944778606734	0.19473151694667937	0.04117759283522028	0.039078692235505176	0.0168678328926585	0.005574879004211639
8	0.00998187471714201	0.026225449930669154	0.004775294711916706	0.03815373300772122	0.9619954789354443	0.8927892459950492	0.8075485076576525	0.704895125180791	0.5699349816145721	6.112010083544921E-4
9	0.0120590317501439	0.0022752766232745137	0.004745709942770101	0.025902583026867706	0.1265767942154702	0.8280513885923014	0.7574349161448853	0.7787997748693937	0.9364972935122213	0.09318005811939305
10	0.006175843790732188	0.17786191406997856	0.12266597461393756	0.9696624181794186	0.5866067266685356	0.972544022289337	0.9635942193303982	0.9097604795801814	0.8964844687782623	3.4611040310241566E-4
